gate_name	gate_suffix	block_size	partitions	ntro_partitions	threshold	gridsynth_time	ntro_time	control_dist	gridsynth_dist	ntro_dist	og_t	og_cliff	og_rz	gridsynth_t	gridsynth_cliff	int_rz	opt_t	opt_cliff	timestamp
QFT8	before	4	1	12	0.001	16.765441763000126	21.99076367499947	0.0	7.172689844809553e-05	8.696782236448175e-05	0	64	84	4072	6260	70	3338	5284	2025-04-26T05:44:38.664770
QFT8	before	4	1	12	0.001	17.024994558999992	29.965631461000044	0.0	6.15616222661741e-05	7.857093905441709e-05	0	64	84	4072	6332	71	3418	5412	2025-04-26T16:40:42.806152
QFT8	before	4	1	12	0.001	16.959599529000002	22.260242032000008	0.0	6.120091032470117e-05	0.00010414861718591856	0	64	84	4065	6258	70	3322	5266	2025-04-26T16:42:10.621918
QFT8	before	4	1	12	0.001	17.01151117699999	22.462327093	0.0	7.864383402430425e-05	0.00010524713252947007	0	64	84	4070	6236	70	3331	5235	2025-04-26T19:14:19.035964
QFT8	before	4	1	12	0.001	17.006088526999974	22.58442357800004	0.0	6.45462249139885e-05	7.003823170849305e-05	0	64	84	4071	6270	71	3414	5356	2025-04-26T19:26:33.313797
QFT8	before	4	1	12	0.001	17.02000938099991	22.4112680610001	0.0	7.988197169984605e-05	0.00010642572167929843	0	64	84	4070	6261	70	3338	5294	2025-04-26T19:27:49.086933
QFT8	before	4	1	12	0.001	16.915878968000015	20.929444848999992	0.0	7.652768827734734e-05	8.545943259660232e-05	0	64	84	4066	6321	66	3143	4974	2025-04-26T19:32:56.301924
QFT8	before	4	1	12	0.001	16.927555309000127	31.531290618000185	0.0	8.367455667415713e-05	9.302466973101492e-05	0	64	84	4088	6271	69	3285	5192	2025-04-26T19:34:39.352898
QFT8	before	4	1	12	0.001	17.01518192100002	31.02336824999975	0.0	5.34666787127862e-05	9.291953827689529e-05	0	64	84	4070	6329	67	3192	5074	2025-04-26T19:37:21.965810
QFT8	before	4	1	12	0.001	16.979305607000242	31.00828187800016	0.0	8.327008735563105e-05	9.942239224628615e-05	0	64	84	4072	6234	66	3142	4965	2025-04-26T19:38:39.418797
QFT8	before	4	1	12	0.001	16.84328134799989	22.02240566399996	0.0	7.768003343227594e-05	9.045808293340139e-05	0	64	84	4071	6310	66	3139	4968	2025-04-26T19:39:49.303410
QFT8	before	4	1	12	0.001	16.96032618299978	22.349393857999985	0.0	6.719757408377156e-05	9.619368636818715e-05	0	64	84	4074	6309	66	3138	4948	2025-04-26T19:40:38.595456
QFT8	before	4	1	12	0.001	16.85577177099958	22.608306019999873	0.0	7.536408963722751e-05	9.65417415361297e-05	0	64	84	4066	6250	66	3139	4999	2025-04-26T19:41:28.977005
QFT8	before	4	1	12	0.001	7.337439979999999	22.098651374000383	0.0	8.204552154473415e-05	9.605494706192049e-05	0	64	84	4070	6233	66	3147	4955	2025-04-26T19:55:38.029191
QFT8	before	3	1	15	0.001	16.946553527000106	22.778011965000132	0.0	5.7452019760420186e-05	7.418843714006698e-05	0	64	84	4071	6237	71	3415	5377	2025-04-26T19:56:24.927379
QFT8	after	3	1	16	0.001	4.28489444600018	10.921513073999904	0.0	0.00012237393577945984	0.00011629836334607273	0	64	42	1900	3013	42	1909	3020	2025-04-26T19:56:46.624531
QFT8	before	3	1	15	0.0001	19.350827510000272	24.5983553330002	0.0	7.0565298041929145e-06	7.624532642426186e-06	0	64	84	4854	7669	71	4071	6512	2025-04-26T19:57:37.507350
QFT8	after	3	1	16	0.0001	4.507932801000152	10.643784993999816	0.0	1.2848076366802213e-05	1.2180493908342875e-05	0	64	42	2282	3636	42	2289	3624	2025-04-26T19:57:57.309598
QFT8	before	3	1	15	1e-05	21.048512193999613	26.151443243999893	0.0	8.618231857372078e-07	6.561588900179862e-07	0	64	84	5642	8782	71	4765	7417	2025-04-26T19:58:54.296149
QFT8	after	3	1	16	1e-05	4.979933334999714	11.579855966000196	0.0	8.654227015812161e-07	1.1014770634517865e-06	0	64	42	2680	4214	42	2690	4216	2025-04-26T19:59:15.958294
