gate_name	gate_suffix	block_size	threshold	gridsynth_time	ntro_time	control_dist	gridsynth_dist	ntro_dist	og_t	og_cliff	og_rz	gridsynth_t	gridsynth_cliff	int_rz	opt_t	opt_cliff	timestamp
QFTAdd8	before	4	1e-05	23.296503292003763	31.4487643869943	2.0711861459243863e-07	4.141410441471649e-06	4.9835732720548975e-06	0	200	276	18944	29318	202	14238	22130	{timestr}
QFTAdd8	after	4	1e-05	10.454314164002426	18.52478226200037	8.067806900324825e-08	5.816605949449105e-06	5.90015341361827e-06	0	200	122	7621	12002	114	7501	11787	{timestr}
QFTAdd8	before	4	1e-05	18.00713054300286	31.62458770700323	2.0711861459243863e-07	4.7152885168655345e-06	4.723246167515072e-06	0	200	276	18688	28943	200	14243	22133	{timestr}
QFTAdd8	after	4	1e-05	7.245196920004673	19.50925415399979	8.067806900324825e-08	5.885425207630135e-06	5.708403396531558e-06	0	200	122	7762	12169	114	7690	12061	{timestr}
QFTAdd8	before	4	0.001	10.666747473005671	30.141811544999655	2.0711861459243863e-07	0.0001134713584771685	0.00012297772653036	0	200	276	15552	24341	206	12185	19099	{timestr}
QFTAdd8	after	4	0.001	7.348350981003023	18.16774126100063	8.067806900324825e-08	0.0005561740001430726	0.0005511848696730937	0	200	122	6099	9683	114	6049	9627	{timestr}
QFTAdd8	before	4	0.001	10.671742158003326	28.915718067000853	2.0711861459243863e-07	0.00011334032407028793	5.391229928919383e-05	0	200	276	15557	24290	206	12542	19592	{timestr}
QFTAdd8	after	4	0.001	7.1596902160017635	17.177609067999583	8.067806900324825e-08	0.0005439410527166011	0.0005811638119407325	0	200	122	6072	9586	114	5875	9340	{timestr}
QFTAdd8	before	4	1e-07	36.38919703200372	63.85369455700129	2.0711861459243863e-07	2.3692093698013394e-07	3.0145830376415717e-07	0	200	276	13987	21786	214	11308	17736	{timestr}
QFTAdd8	after	4	1e-07	18.88103531699744	33.12038325100002	8.067806900324825e-08	1.2010283578778314e-07	1.2138879845746686e-07	0	200	122	6834	10752	115	6849	10808	{timestr}
QFTAdd8	before	4	1e-07	29.670514204997744	62.22603329199774	2.0711861459243863e-07	2.0711861459243863e-07	1.7370066418553876e-07	0	200	276	14009	21782	222	11707	18323	{timestr}
QFTAdd8	after	4	1e-07	16.85579521099862	33.31455719299993	8.067806900324825e-08	1.1717831049917748e-07	8.067806900324825e-08	0	200	122	6840	10789	114	7035	11033	{timestr}
QFTAdd8	before	4	0.0001	11.233665283994924	30.5727714129971	2.0711861459243863e-07	2.977669380765935e-05	1.6922335639546482e-05	0	200	276	17664	27381	202	14024	21944	{timestr}
QFTAdd8	after	4	0.0001	7.027824345001136	19.400705924999784	8.067806900324825e-08	5.297510584156839e-05	5.744763370107986e-05	0	200	122	7242	11473	114	7084	11138	{timestr}
QFTAdd8	before	4	0.0001	11.370744952000678	28.767865280999104	2.0711861459243863e-07	3.132093080659981e-05	2.0506563148336987e-05	0	200	276	17673	27360	202	13893	21669	{timestr}
QFTAdd8	after	4	0.0001	7.527996393000649	19.4229166849982	8.067806900324825e-08	5.2071024970512525e-05	5.6225168321821783e-05	0	200	122	7389	11589	114	7193	11292	{timestr}
QFTAdd8	before	4	1e-06	26.635532268002862	49.460476722997555	2.0711861459243863e-07	1.2282491756998581e-07	1.8224442221992376e-07	0	200	276	16356	25381	204	13476	21056	{timestr}
QFTAdd8	after	4	1e-06	11.813363239001774	24.179298832001223	8.067806900324825e-08	2.1547038653313422e-07	2.4127995490452747e-07	0	200	122	7665	12079	114	7633	11944	{timestr}
QFTAdd8	before	4	1e-06	19.85865019099583	39.96378287600237	2.0711861459243863e-07	1.6341963904320522e-07	1.417694217575871e-07	0	200	276	16324	25496	200	13230	20627	{timestr}
QFTAdd8	after	4	1e-06	10.038831653997477	25.041804376000073	8.067806900324825e-08	2.3654381087201415e-07	3.041845527684828e-07	0	200	122	7656	12014	114	7616	11964	{timestr}
QFTAdd8	before	4	1e-08	37.38985257000604	92.9551093159971	2.0711861459243863e-07	2.627305052405049e-07	2.926759767873932e-07	0	200	276	13916	21776	222	11877	18586	{timestr}
QFTAdd8	after	4	1e-08	20.98224784899503	49.541171423996275	8.067806900324825e-08	1.3229720563501246e-07	1.337333246365091e-07	0	200	122	6828	10781	114	7019	11085	{timestr}
QFTAdd8	before	4	1e-08	37.04042953699536	74.12577859700104	2.0711861459243863e-07	2.77011255822579e-07	1.3516944363800576e-07	0	200	276	13920	21694	223	13132	20559	{timestr}
QFTAdd8	after	4	1e-08	18.11722920399916	47.507200758002	8.067806900324825e-08	2.082391306057474e-07	1.0175149323110588e-07	0	200	122	6826	10700	115	6803	10720	{timestr}
QFTAdd8	before	3	1e-05	11.68739060399821	26.875764520998928	2.9141231161489145e-07	4.879729806339661e-06	5.60376970426546e-06	0	200	276	17111	26511	225	15320	23659	{timestr}
QFTAdd8	after	3	1e-05	7.020356205001008	17.90259925299324	1.9838971643260095e-07	5.577326199102117e-06	6.0495731728504865e-06	0	200	122	7626	11974	119	7528	11859	{timestr}
QFTAdd8	before	3	1e-05	14.017870026997116	27.848093543005234	2.9141231161489145e-07	5.848071536584953e-06	4.600726797532317e-06	0	200	276	16909	26145	225	15498	24020	{timestr}
QFTAdd8	after	3	1e-05	6.8536338999983855	18.733254079998005	1.9838971643260095e-07	6.451943219465406e-06	5.79419986423968e-06	0	200	122	7522	11819	119	7448	11731	{timestr}
QFTAdd8	before	3	0.001	10.239043369998399	26.269210901002225	2.9141231161489145e-07	0.0003207444861775821	0.0002491801070491073	0	200	276	14178	21981	229	12860	20089	{timestr}
QFTAdd8	after	3	0.001	6.105207690001407	16.73975222399895	1.9838971643260095e-07	0.0006528047741251042	0.0006208904791157321	0	200	122	5826	9252	119	5872	9359	{timestr}
QFTAdd8	before	3	0.001	10.289364734999253	26.87483740499738	2.9141231161489145e-07	0.00031670499883440506	0.00026313242339881526	0	200	276	14287	22159	229	12807	19914	{timestr}
QFTAdd8	after	3	0.001	6.134506000998954	16.69768260699493	1.9838971643260095e-07	0.0006337621777033897	0.0006590174567588925	0	200	122	5865	9292	119	5829	9263	{timestr}
QFTAdd8	before	3	1e-07	24.04369776499516	53.14222622800298	2.9141231161489145e-07	3.422880582304444e-07	4.1813438189652885e-07	0	200	276	13026	20359	240	12049	18829	{timestr}
QFTAdd8	after	3	1e-07	13.368830067003728	28.681435044003592	1.9838971643260095e-07	3.7762212989900235e-07	3.368591851016234e-07	0	200	122	6343	9972	119	6325	9930	{timestr}
QFTAdd8	before	3	1e-07	22.693865842004016	52.55341994799528	2.9141231161489145e-07	3.335591600706067e-07	2.220197757862863e-07	0	200	276	12934	20269	237	13218	20586	{timestr}
QFTAdd8	after	3	1e-07	16.467211671995756	29.33589181899879	1.9838971643260095e-07	3.0839504072677215e-07	3.6266875336199433e-07	0	200	122	6328	9962	119	6346	9935	{timestr}
QFTAdd8	before	3	0.0001	10.355488388995582	26.976023263006937	2.9141231161489145e-07	4.255389751328664e-05	1.1973353095329209e-05	0	200	276	16174	25206	226	15636	24255	{timestr}
QFTAdd8	after	3	0.0001	7.132777795995935	18.969443504000083	1.9838971643260095e-07	5.50790684841207e-05	5.536132841077457e-05	0	200	122	6822	10878	119	6897	10969	{timestr}
QFTAdd8	before	3	0.0001	10.836365228999057	25.684815630003868	2.9141231161489145e-07	3.703344390038055e-05	1.1636269420023382e-05	0	200	276	16375	25549	226	15650	24298	{timestr}
QFTAdd8	after	3	0.0001	6.745079482003348	17.424274951998086	1.9838971643260095e-07	5.445974076223603e-05	5.741771497236314e-05	0	200	122	6931	11027	119	6907	10958	{timestr}
QFTAdd8	before	3	1e-06	20.12522453499696	36.522392402999685	2.9141231161489145e-07	4.2031155123023467e-07	2.558683288578223e-07	0	200	276	13031	20398	238	13459	20992	{timestr}
QFTAdd8	after	3	1e-06	9.83880264400068	25.883297556996695	1.9838971643260095e-07	3.063134728087391e-07	3.470242022629577e-07	0	200	122	6547	10271	119	6539	10282	{timestr}
QFTAdd8	before	3	1e-06	23.093506302000606	40.52473954499874	2.9141231161489145e-07	3.124857358427491e-07	2.7763166643435255e-07	0	200	276	13089	20450	240	13443	21032	{timestr}
QFTAdd8	after	3	1e-06	11.665255259998958	23.80155608899804	1.9838971643260095e-07	3.6281890969380726e-07	2.527156444109835e-07	0	200	122	6535	10285	119	6560	10339	{timestr}
QFTAdd8	before	3	1e-08	27.533430715004215	53.448688146003406	2.9141231161489145e-07	3.361157951964344e-07	2.9141231161489145e-07	0	200	276	13015	20337	248	12280	19205	{timestr}
QFTAdd8	after	3	1e-08	17.04057437699521	31.24413578799431	1.9838971643260095e-07	3.1050704396573536e-07	3.32866430974299e-07	0	200	122	6316	9982	119	6338	9998	{timestr}
QFTAdd8	before	3	1e-08	29.59188121600164	48.16273398200428	2.9141231161489145e-07	3.2121463400258676e-07	4.112786968768489e-07	0	200	276	13008	20378	251	12184	18990	{timestr}
QFTAdd8	after	3	1e-08	20.123533805002808	34.15382505799789	1.9838971643260095e-07	3.784634607928439e-07	3.6266875336199433e-07	0	200	122	6305	9923	119	6301	9918	{timestr}
QFTAdd8	before	5	1e-05	21.82610210099665	61.276664375996916	1.263426044895155e-07	3.881870905830809e-06	4.093960292661514e-06	0	200	276	19831	30506	210	15679	24257	{timestr}
QFTAdd8	after	5	1e-05	7.546132252005918	33.980090750003	9.30225951822905e-08	5.297759184785811e-06	5.386080761393686e-06	0	200	122	8218	12873	117	8135	12746	{timestr}
QFTAdd8	before	5	1e-05	21.787905444005446	68.53409803500108	1.263426044895155e-07	4.190772522449926e-06	4.385756014246844e-06	0	200	276	19403	29985	210	15063	23337	{timestr}
QFTAdd8	after	5	1e-05	12.659792022001056	32.96940421099862	9.30225951822905e-08	5.092933836992053e-06	5.262080826740068e-06	0	200	122	8206	12854	117	8107	12652	{timestr}
QFTAdd8	before	5	0.001	11.326825937998365	80.45913627700065	1.263426044895155e-07	8.753202794342663e-05	0.0001364634604538173	0	200	276	15860	24797	220	13241	20741	{timestr}
QFTAdd8	after	5	0.001	6.297278180005378	33.29830774899892	9.30225951822905e-08	0.0005529574974820761	0.0005939013050691999	0	200	122	6267	9927	117	6143	9692	{timestr}
QFTAdd8	before	5	0.001	10.72395271800633	64.67439460000605	1.263426044895155e-07	0.00018644470363693433	0.00010272907781572194	0	200	276	15742	24571	221	13483	21145	{timestr}
QFTAdd8	after	5	0.001	6.216888052003924	33.80931643400254	9.30225951822905e-08	0.0006167516494800518	0.0006057099984829728	0	200	122	6213	9773	117	6162	9766	{timestr}
QFTAdd8	before	5	1e-07	45.947216939006466	87.62466799799586	1.263426044895155e-07	1.4124376568336316e-07	1.9176334087323e-07	0	200	276	15575	24274	226	13370	20954	{timestr}
QFTAdd8	after	5	1e-07	18.382215761994303	60.17359953500272	9.30225951822905e-08	1.1883216344266145e-07	1.5081399473704238e-07	0	200	122	6773	10693	117	7444	11666	{timestr}
QFTAdd8	before	5	1e-07	45.31179826299922	80.5136976740032	1.263426044895155e-07	2.713108891994054e-07	1.921195124099384e-07	0	200	276	15547	24157	226	12809	20022	{timestr}
QFTAdd8	after	5	1e-07	18.4076674320022	58.69667259400012	9.30225951822905e-08	1.6848945305625307e-07	1.7848739708448136e-07	0	200	122	6743	10679	118	7234	11420	{timestr}
QFTAdd8	before	5	0.0001	12.127146876999177	65.11026898800628	1.263426044895155e-07	3.356529553155685e-05	2.733525409515103e-05	0	200	276	17954	27869	212	14784	23151	{timestr}
QFTAdd8	after	5	0.0001	7.078334469006222	31.399973893996503	9.30225951822905e-08	4.929786028629035e-05	5.736335829420458e-05	0	200	122	7397	11605	117	7219	11319	{timestr}
QFTAdd8	before	5	0.0001	12.73303625999688	72.74582751300477	1.263426044895155e-07	3.3599385674043525e-05	2.8426833475148072e-05	0	200	276	17970	27945	211	14633	22823	{timestr}
QFTAdd8	after	5	0.0001	6.9558825729982345	32.034204187002615	9.30225951822905e-08	4.936732984872627e-05	5.604282651816561e-05	0	200	122	7397	11715	117	7226	11372	{timestr}
QFTAdd8	before	5	1e-06	30.54741476999334	85.97108563299844	1.263426044895155e-07	1.5470880787571417e-07	1.828097930811623e-07	0	200	276	16252	25286	226	14480	22734	{timestr}
QFTAdd8	after	5	1e-06	13.19844915199792	42.95385719200567	9.30225951822905e-08	2.4127995490452747e-07	2.277169717235239e-07	0	200	122	7631	12039	117	7626	11991	{timestr}
QFTAdd8	before	5	1e-06	30.650954333999834	84.15450202500506	1.263426044895155e-07	1.594449519082275e-07	1.4901161193847656e-08	0	200	276	16307	25363	227	14413	22455	{timestr}
QFTAdd8	after	5	1e-06	11.513116934998834	42.09214913699543	9.30225951822905e-08	1.7731629220474332e-07	2.3910044588681956e-07	0	200	122	7640	12005	117	7625	12008	{timestr}
QFTAdd8	before	5	1e-08	49.463488902998506	127.00742799999716	1.263426044895155e-07	2.2861975390586764e-07	2.1319293663779604e-07	0	200	276	15527	24089	236	13525	21083	{timestr}
QFTAdd8	after	5	1e-08	23.744063216996437	69.73790115200245	9.30225951822905e-08	1.5480674886436674e-07	1.0175149323110588e-07	0	200	122	6747	10626	119	7222	11345	{timestr}
QFTAdd8	before	5	1e-08	50.34710996600188	125.4085242000001	1.263426044895155e-07	1.7576416511122517e-07	1.777440071792924e-07	0	200	276	15576	24178	233	13121	20536	{timestr}
QFTAdd8	after	5	1e-08	21.21748261999892	57.487642603002314	9.30225951822905e-08	2.475876862417792e-07	8.685033203725823e-08	0	200	122	6742	10682	119	6946	10905	{timestr}
QFTAdd8	before	6	1e-05	30.99722896500316	407.8662284439997	1.0536712125031045e-07	3.167658362279724e-06	3.4763208393018274e-06	0	200	276	20392	31265	195	15152	23522	{timestr}
QFTAdd8	after	6	1e-05	17.020856187999016	193.96616556799563	8.685033203725823e-08	5.600517814841055e-06	5.908940455712219e-06	0	200	122	8417	13119	114	8244	12844	{timestr}
